Unnamed: 0.1,Title,Time,View,Date,Like,Dislike,Comment
56,Galaxy Z Fold 2 Review: Folding King... But For What?,10.733333333333333,2463728,2020-09-12,94000,3200,8654
57,"Surface Duo Review: The Good, The Bad & The Ugly!",14.716666666666667,2496488,2020-09-10,95000,1900,7925
58,Moto RAZR 2 Impressions: Nostalgia Reloaded?,9.383333333333333,2361452,2020-09-10,94000,1600,5478
59,Samsung Galaxy Z Fold 2 Unboxing: 3 Major Upgrades!,10.1,3383921,2020-09-03,136000,2600,9358
60,Surface Duo Unboxing & Impressions: Hinge Goals!,8.716666666666667,2998044,2020-08-27,120000,4100,9825
61,Samsung Galaxy Nope 20!,12.666666666666666,3107977,2020-08-26,122000,2800,13903
62,6K RED Komodo Impressions: The Mini Cine Camera!,12.05,1681404,2020-08-21,73000,1300,5378
63,Galaxy Note 20 Ultra Review: It Better Be Good!,13.533333333333333,3733924,2020-08-18,138000,3200,13272
64,Dope Tech: The iPad Pro Killer?!,11.533333333333333,6090569,2020-08-17,225000,5400,12629
65,Sony WH-1000XM4 Review: The Final Form!,7.616666666666667,3309874,2020-08-13,137000,1400,8954
66,Dope Tech: Boston Dynamics Robot Dog!,15.15,4882443,2020-08-11,214000,3300,15229
67,The Last Intel Mac VS The Osborne Effect!,10.083333333333334,1669044,2020-08-06,67000,1200,4376
68,Samsung Galaxy Note 20 Ultra Impressions: Ultra Premium!,10.433333333333334,3546768,2020-08-05,134000,2500,16608
69,Google Pixel 4a Review: Simple and Clean!,9.516666666666667,5004095,2020-08-03,181000,3500,13200
70,The TRUTH About OnePlus Nord!,10.316666666666666,3825322,2020-07-28,144000,3200,9866
71,Why Tesla Model Y is Their Most Important Car! [Auto Focus Ep 5],11.133333333333333,3047852,2020-07-25,119000,2600,6577
72,Asus ROG Phone 3 Review: The Spec King Returns!,11.933333333333334,3397821,2020-07-22,117000,2000,9555
73,OnePlus Nord Impressions: Back to Budget!,9.583333333333334,2708985,2020-07-21,121000,2400,9772
74,Dope Tech: The Biggest Ultrawide Monitor!,10.633333333333333,3532798,2020-07-19,140000,2600,5712
75,OnePlus Nord Reveal! How Much Do Smartphones Actually Cost?,18.95,3865418,2020-07-14,171000,3800,13225
76,Can You Trust MKBHD?,13.85,3878438,2020-07-10,239000,3500,19126
77,iPhone 12: What to Expect!,10.216666666666667,5029636,2020-07-07,162000,3600,12269
78,On the iPhone 12 With No Charger...,11.4,4427283,2020-07-02,193000,11000,36471
79,Apple Responds to Your Comments!,19.116666666666667,5355596,2020-06-26,231000,4200,17718
80,iOS 14 Hands-On: Everything New!,11.516666666666667,10152986,2020-06-24,316000,7100,26667
81,WWDC 2020 Impressions: Widgets and The Great Transition!,15.516666666666667,4751866,2020-06-23,210000,4000,21725
82,Samsung Galaxy Buds Plus: The Go-To!,7.033333333333333,2701490,2020-06-20,110000,1800,7537
83,PS5 Impressions: My Thoughts!,10.766666666666667,5668668,2020-06-18,216000,6800,18347
84,The Largest Daily Driver Unboxing!,6.783333333333333,2577777,2020-06-17,115000,36000,12998
85,Top 5 Android 11 Features: Big Tweaks!,9.0,3331631,2020-06-16,127000,2200,8500
86,CyberTruck Phone Impressions... Ridiculous,7.45,3696396,2020-06-12,140000,6100,8604
87,Dope Tech: The $3500 Bluetooth Speaker!,8.8,5067864,2020-06-10,160000,3700,5455
88,Reflecting on the Color of My Skin,10.433333333333334,5788671,2020-06-05,602000,22000,48364
89,Escobar Responds! A PSA,12.966666666666667,6446366,2020-05-29,261000,5200,14927
90,Poco F2 Pro: The Full Screen Deal!,10.416666666666666,4011485,2020-05-27,117000,2900,8522
91,How Teslas Upgrade Over Time!,11.2,3384563,2020-05-23,151000,2100,5752
